,count,mean,std,min,25%,50%,75%,max
close,278828,413.66,105.15,249.46,312.54,415.14,497.53,636.08
ema_5,278828,413.65,105.15,249.91,312.52,415.17,497.57,635.93
ema_10,278828,413.65,105.15,250.43,312.52,415.25,497.53,635.77
ema_20,278828,413.65,105.15,251.49,312.5,415.29,497.49,635.49
ema_diff,278828,0.0054,0.4957,-9.8044,-0.1797,0.0214,0.2029,11.4566
return_5,278828,9e-06,0.00188,-0.03,-0.000661,3.5e-05,0.000697,0.03
return_15,278828,2.7e-05,0.003212,-0.03,-0.001155,9.1e-05,0.00127,0.03
return_30,278828,5.2e-05,0.004523,-0.03,-0.001676,0.000164,0.001884,0.03
realized_vol_10,278828,0.000608,0.000619,2.3e-05,0.000315,0.000461,0.000685,0.017427
volume_norm,278828,1.001984,0.997295,0.05,0.35161,0.674625,1.258242,5.0
vwap_norm,278828,1.0,0.0003,0.9815,0.9999,1.0,1.0001,1.0069
volume_acceleration,278828,2e-06,1.70129,-33.972282,-0.485751,0.003805,0.499908,29.857844
volume_spike,278828,0.120612,0.325676,0.0,0.0,0.0,0.0,1.0
volume_return_alignment,278828,0.000912,0.029827,-0.03,-0.03,0.03,0.03,0.03
bid_ask_spread_proxy,278828,0.0004,0.0005,0.0,0.0001,0.0003,0.0006,0.0299
efficiency_ratio,278828,0.6031,0.391,0.0,0.3125,0.5882,0.8431,14.0667
overextended_up,278828,0.0106,0.1025,0.0,0.0,0.0,0.0,1.0
overextended_down,278828,0.0111,0.1049,0.0,0.0,0.0,0.0,1.0
rsi_proxy,278828,32.1666,33.9265,0.0,0.0,24.9365,52.9415,100.0
high_vol_regime,278828,0.19752,0.398128,0.0,0.0,0.0,0.0,1.0
minute_of_day,278828,1018.6514,121.9546,810.0,913.0,1013.0,1126.0,1259.0
is_15_30_16_00,278828,0.0776,0.2675,0.0,0.0,0.0,0.0,1.0
NVDA_ema_5,278828,80.8,58.29,10.89,24.07,61.21,131.94,211.52
NVDA_ema_10,278828,80.8,58.29,10.95,24.07,61.21,131.94,211.22
NVDA_ema_20,278828,80.8,58.29,11.04,24.06,61.19,131.94,210.96
NVDA_ema_slope,278828,0.0041,0.2445,-7.2154,-0.0542,0.0036,0.0629,4.2991
NVDA_return_5,278828,3.5e-05,0.00396,-0.03,-0.001546,0.0,0.001634,0.03
NVDA_return_15,278828,0.000103,0.006571,-0.03,-0.002669,8.2e-05,0.002946,0.03
NVDA_return_30,278828,0.000196,0.008941,-0.03,-0.003771,0.000239,0.004313,0.03
NVDA_volume_norm,278828,1.030786,0.8849,0.05,0.46059,0.766611,1.27646,5.0
NVDA_vwap_norm,278828,1.0,0.0007,0.9836,0.9997,1.0,1.0003,1.0152
AAPL_ema_5,278828,189.98,36.32,122.4,161.97,185.25,221.35,276.1
AAPL_ema_10,278828,189.98,36.32,122.46,161.96,185.26,221.36,275.7
AAPL_ema_20,278828,189.98,36.31,122.56,161.98,185.26,221.36,275.62
AAPL_ema_slope,278828,0.0025,0.2927,-8.4794,-0.1056,0.0062,0.1152,5.9033
AAPL_return_5,278828,1.2e-05,0.002255,-0.03,-0.000852,0.0,0.000884,0.03
AAPL_return_15,278828,3.3e-05,0.003832,-0.03,-0.001471,6e-05,0.001582,0.03
AAPL_return_30,278828,6.3e-05,0.005367,-0.03,-0.002105,0.000125,0.00231,0.03
AAPL_volume_norm,278828,1.023993,0.884865,0.05,0.460566,0.761979,1.261525,5.0
AAPL_vwap_norm,278828,1.0,0.0004,0.9859,0.9998,1.0,1.0002,1.0175
MSFT_ema_5,278828,363.72,90.22,208.39,277.72,373.66,423.73,546.39
MSFT_ema_10,278828,363.71,90.22,208.63,277.75,373.66,423.73,546.03
MSFT_ema_20,278828,363.71,90.22,208.98,277.76,373.69,423.72,545.39
MSFT_ema_slope,278828,0.0041,0.5119,-12.6914,-0.1947,0.0093,0.2057,19.8667
MSFT_return_5,278828,8e-06,0.002134,-0.03,-0.000811,2e-05,0.000835,0.03
MSFT_return_15,278828,2.4e-05,0.003644,-0.03,-0.001424,4.9e-05,0.001488,0.03
MSFT_return_30,278828,4.7e-05,0.005104,-0.03,-0.002055,7.7e-05,0.002169,0.03
MSFT_volume_norm,278828,1.021666,0.923566,0.05,0.42478,0.737847,1.268276,5.0
